,Administered,textblob_agg_sentiment,nltk_agg_sentiment,Vader_agg_sentiment
8/13/2020,,8589.478387,-21663,18924
8/14/2020,,4082.940213,-21600,9000
8/15/2020,,1866.061905,-8400,3240
8/16/2020,,1171.674266,-7680,2640
8/17/2020,,2363.048604,-6157,4192
8/18/2020,,2110.590189,-10293,5781
8/19/2020,,7355.943001,-27772,15982
8/20/2020,,8143.342381,-45760,11726
8/21/2020,,2143.134269,-13260,1190
8/22/2020,,1685.549275,-8643,2967
8/23/2020,,1311.24182,-4176,3364
8/24/2020,,954.2286742,-3811,1545
8/25/2020,,1418.073788,-7645,4448
8/26/2020,,1782.253247,-8505,4185
8/27/2020,,2218.110795,-6375,4375
8/28/2020,,950.2952381,-5376,1344
8/29/2020,,378.7959325,-1273,1139
8/30/2020,,194.3060155,-1769,427
8/31/2020,,3200.447873,-10557,7803
9/1/2020,,1198.435107,-4180,1320
9/2/2020,,1741.19899,-6440,1400
9/3/2020,,3163.717248,-16185,5070
9/4/2020,,2292.853656,-11245,4498
9/5/2020,,650.7466793,-3549,1911
9/6/2020,,313.6799423,-2560,1360
9/7/2020,,1706.096528,-7280,4900
9/8/2020,,2489.11197,-20376,7692
9/9/2020,,6917.836892,-71400,-3500
9/10/2020,,,,
9/11/2020,,,,
9/12/2020,,,,
9/13/2020,,1254.803853,-5508,1632
9/14/2020,,2166.437147,-9472,3700
9/15/2020,,2479.889639,-10773,6327
9/16/2020,,4058.049802,-18480,8580
9/17/2020,,3797.447562,-10787,7245
9/18/2020,,3542.911475,-6975,5425
9/19/2020,,529.4242424,-2520,1190
9/20/2020,,925.3414652,-4700,-376
9/21/2020,,592.9600805,-3672,2142
9/22/2020,,1683.695522,-5175,4370
9/23/2020,,1295.810714,-10656,1584
9/24/2020,,182.7595779,-555,370
9/25/2020,,,,
9/26/2020,,25.43333333,-20,80
9/27/2020,,571.3864899,-5880,490
9/28/2020,,1205.045501,-3737,2424
9/29/2020,,563.748575,-5415,855
9/30/2020,,1677.883231,-9384,4554
10/1/2020,,57.57201058,-836,76
10/2/2020,,,,
10/3/2020,,,,
10/4/2020,,,,
10/5/2020,,,,
10/6/2020,,,,
10/7/2020,,,,
10/8/2020,,929.2907468,-4841,927
10/9/2020,,7910.421123,-56175,22470
10/10/2020,,235.0665709,-1920,1344
10/11/2020,,202.9314935,-1944,864
10/12/2020,,600.0512374,-3108,1702
10/13/2020,,1418.168537,-34040,-5290
10/14/2020,,1392.070685,-7936,2108
10/15/2020,,590.2152417,-4576,2496
10/16/2020,,1163.129286,-3456,2484
10/17/2020,,779.5073106,-5661,555
10/18/2020,,476.7939827,-2415,1035
10/19/2020,,309.6354257,-3496,1380
10/20/2020,,2092.067027,-8584,3552
10/21/2020,,1109.062302,-8784,2196
10/22/2020,,12212.14903,-74760,35244
10/23/2020,,,,
10/24/2020,,,,
10/25/2020,,,,
10/26/2020,,,,
10/27/2020,,,,
10/28/2020,,,,
10/29/2020,,,,
10/30/2020,,,,
10/31/2020,,,,
11/1/2020,,,,
11/2/2020,,232.4355556,-616,572
11/3/2020,,341.0579545,-4368,1848
11/4/2020,,911.4555693,-4876,2438
11/5/2020,,1569.947219,-5900,4956
11/6/2020,,1202.524675,-4416,1440
11/7/2020,,381.3549784,-3360,800
11/8/2020,,207778.542,-297660,576870
11/9/2020,,1521523.049,-3595527,3376776
11/10/2020,,,,
11/11/2020,,,,
11/12/2020,,,,
11/13/2020,,,,
11/14/2020,,6595.646464,-23805,15525
11/15/2020,,19675.17175,-79588,38612
11/16/2020,,299174.3754,-619255,684583
11/17/2020,,993091.6725,-2579992,1767864
11/18/2020,,358920.6167,-1613475,1459050
11/19/2020,,53731.22068,-230256,183222
11/20/2020,,45968.93461,-288249,137085
11/21/2020,,16710.23766,-85536,48384
11/22/2020,,,,
11/23/2020,,,,
11/24/2020,,,,
11/25/2020,,,,
