,user_verified,date,text,hashtags,tokenized,polarity,subjectivity,sentiment
0,True,2021-09-06 23:55:48,please take covid seriously joke from,,pleas take covid serious joke from,-0.3333333333333333,0.6666666666666666,-1
1,False,2021-09-06 23:46:16,that more than risk from risk from vaccine possibly,  CovidVaccine  ,that more than risk from risk from vaccin possibl,0.25,0.75,1
2,False,2021-09-06 23:38:34,said anyone supporting blanket,  FascistEmployerMandate    FascistVaccinePassport  ,said anyon support blanket,0.25,0.25,1
3,False,2021-09-06 23:36:50,more crazy this time where medical doctor writing mask,,more crazi thi time where medic doctor write mask,-0.033333333333333326,0.4666666666666666,-1
4,False,2021-09-06 23:29:20,great point case about should take,  CovidVaccine    COVIDVaccination  ,great point case about should take,0.8,0.75,1
5,False,2021-09-06 23:29:09,what will take fight this pandemic covid corona,  Covid       Corona    CovidVaccine  ,what will take fight thi pandem covid corona,0.0,0.0,0
6,False,2021-09-06 23:25:25,amazing these medical know this year have,  CovidVaccine  ,amaz these medic know thi year have,0.30000000000000004,0.45,1
7,False,2021-09-06 23:24:51,covid jump drop covid covid19,  Covid    CovidVaccine    COVID      CovidIsNotOver  ,covid jump drop covid covid19,0.0,0.0,0
8,False,2021-09-06 23:21:27,this could hole part will have,  Novavax  ,thi could hole part will have,0.0,0.0,0
9,False,2021-09-06 23:16:44,what your real reason being unvaccinated talk covid vaccination covid,  Covid    CovidVaccine    Vaccination    Covid     ,what your real reason be unvaccin talk covid vaccin covid,0.2,0.30000000000000004,1
10,False,2021-09-06 23:13:33,covid watch with peter,  Covid  ,covid watch with peter,0.0,0.0,0
11,False,2021-09-06 23:13:31,availability 30pm free dose1 dose2,  BBMP    Bengaluru    CovidVaccine    COVISHIELD  ,avail 30pm free dose1 dose2,0.4,0.8,1
12,False,2021-09-06 23:11:16,fact covid19 vaccine would trust,  Fact    didyouknow    covid      vaccine    CovidVaccine    DoNotComply    Pfizer    Moderna  ,fact covid19 vaccin would trust,0.0,0.0,0
13,False,2021-09-06 23:09:42,warren county covid19 update labor active overall,  covid    ,warren counti covid19 updat labor activ overal,-0.06666666666666667,0.3,-1
14,False,2021-09-06 23:07:42,coming soon,  CovidVaccine    VaccinePassport  ,come soon,0.0,0.0,0
15,False,2021-09-06 23:04:20,covid possibly vaccine resistant most prevalent these vaccine resistant,  COVID    MuVariant  ,covid possibl vaccin resist most preval these vaccin resist,0.25,0.75,1
16,True,2021-09-06 23:00:17,priority have been extended until year,  COVIDVaccine  ,prioriti have been extend until year,0.0,0.0,0
17,False,2021-09-06 22:57:50,light covid19vic covid19aus covid19 auspol2021,  auspol    COVID  Vic    COVID  Aus    COVIDVaccine    COVID      auspol        CovidUK  ,light covid19v covid19au covid19 auspol2021,0.4,0.7,1
18,False,2021-09-06 22:53:07,quick treat parasitic covid virus parasite,  Ivermectin    FDA    COVID    virus  ,quick treat parasit covid viru parasit,0.3333333333333333,0.5,1
